;meta[language=en]
; id | key(hex) | key(str) | text
;
;------------------------------------ Panels -----------------------------------
2113377000||panel_Mods|Mods
2113377001||panel_rsense|Reasonable Senses
;
;---------------- Titles, support Community Patch - Menu Strings ---------------
2113377010||preset_Mods_rsense|Reasonable Senses
2113377011||preset_Mods_alchemy_and_equipment_rsense|Reasonable Senses
2113377012||preset_Mods_camera_rsense|Reasonable Senses
2113377013||preset_Mods_characters_rsense|Reasonable Senses
2113377014||preset_Mods_combat_rsense|Reasonable Senses
2113377015||preset_Mods_gameplay_rsense|Reasonable Senses
2113377016||preset_Mods_quests_and_adventures_rsense|Reasonable Senses
2113377017||preset_Mods_user_interface_rsense|Reasonable Senses
2113377018||preset_Mods_visuals_and_graphics_rsense|Reasonable Senses
2113377019||preset_Mods_miscellaneous_rsense|Reasonable Senses
;-------------------------------------------------------------------------------
;
;----------------------------------- Presets -----------------------------------
2113377020||preset_value_rsense_default|Default
2113377021||preset_value_rsense_minimalist|Minimalist
2113377022||preset_value_rsense_vanilla|Vanilla
;-------------------------------------------------------------------------------
;
;----------------------------------- Options -----------------------------------
2113377030||option_rsense_doorsHighlight|Highlight doors
2113377031||option_rsense_postersHighlight|Highlight posters
2113377032||option_rsense_cluesHighlight|Highlight clues
2113377033||option_rsense_stashesHighlight|Highlight stashes
2113377034||option_rsense_explosiveBarrelsHighlight|Highlight explosive barrels
;
2113377040||option_rsense_signpostsHighlight|Highlight signposts
2113377041||option_rsense_noticeboardsHighlight|Highlight noticeboards
2113377042||option_rsense_workbenchesAndGrindstonesHighlight|Highlight workbenches & grindstones
2113377043||option_rsense_bedsHighlight|Highlight beds
;
2113377050||option_rsense_herbsHighlight|Highlight herbs
2113377051||option_rsense_beehivesHighlight|Highlight beehives
2113377052||option_rsense_otherContainersHighlight|Highlight other containers
2113377053||option_rsense_corpsesHighlight|Highlight corpses
;-------------------------------------------------------------------------------
;
;----------------------------- Option array items ------------------------------
2113377060||preset_value_rsense_highlight_Never|Never
2113377061||preset_value_rsense_highlight_UnexaminedOnly|Only when unexamined
2113377062||preset_value_rsense_highlight_Always|Always
2113377063||preset_value_rsense_highlight_WhenNotWellRested|When not well rested
;-------------------------------------------------------------------------------
